0,1,1034;0,76,9,20,1,
0,2,2765;0,76,9,63,15,16,70,28,2,
0,3,1901;0,76,5,39,18,19,3,
0,4,1308;0,76,9,63,15,4,
0,5,912;0,76,5,
0,6,2009;0,76,5,39,12,6,
0,7,1039;0,76,5,39,18,10,7,
0,9,137;0,76,9,
0,10,1057;0,76,5,39,18,10,
0,11,2506;0,76,9,64,34,61,52,50,40,11,
0,12,1041;0,76,5,39,12,
0,13,2135;0,43,51,54,13,
0,14,1360;0,76,9,64,34,61,52,69,14,
0,15,1038;0,76,9,63,15,
0,16,1447;0,76,9,63,15,16,
0,17,1733;0,46,75,17,
0,18,789;0,76,5,39,18,
0,19,1538;0,76,5,39,18,19,
0,20,641;0,76,9,20,
0,21,1885;0,76,9,64,34,61,52,50,22,21,
0,22,1586;0,76,9,64,34,61,52,50,22,
0,23,1458;0,46,23,
0,24,1005;0,76,5,39,18,10,24,
0,25,2389;0,46,23,25,
0,27,1517;0,76,9,64,34,61,27,
0,28,2250;0,76,9,63,15,16,70,28,
0,29,1249;0,76,5,39,18,10,24,29,
0,30,1283;0,76,56,30,
0,31,1731;0,76,9,64,34,61,52,50,22,31,
0,32,1626;0,46,49,32,
0,33,3399;0,76,9,64,34,61,52,50,40,11,33,
0,34,755;0,76,9,64,34,
0,35,1421;0,43,51,65,78,35,
0,36,1984;0,76,5,39,18,19,3,36,
0,38,1585;0,46,75,38,
0,39,815;0,76,5,39,
0,40,2346;0,76,9,64,34,61,52,50,40,
0,41,2752;0,43,51,54,13,41,
0,42,1216;0,76,9,64,42,
0,43,635;0,43,
0,44,1312;0,43,51,62,44,
0,45,2464;0,76,9,64,34,61,52,50,45,
0,46,922;0,46,
0,47,1087;0,76,5,39,12,47,
0,48,1253;0,76,9,20,1,48,
0,49,1266;0,46,49,
0,50,1551;0,76,9,64,34,61,52,50,
0,51,774;0,43,51,
0,52,598;0,76,9,64,34,61,52,
0,53,1479;0,76,5,39,18,10,7,53,
0,54,1503;0,43,51,54,
0,56,619;0,76,56,
0,57,1244;0,43,57,
0,58,2030;0,76,5,39,18,10,24,29,58,
0,59,2130;0,43,51,62,44,59,
0,60,2129;0,76,5,39,18,19,3,36,60,
0,61,681;0,76,9,64,34,61,
0,62,1269;0,43,51,62,
0,63,678;0,76,9,63,
0,64,522;0,76,9,64,
0,65,1136;0,43,51,65,
0,66,1872;0,43,51,62,44,66,
0,68,1990;0,76,5,39,12,47,68,
0,69,890;0,76,9,64,34,61,52,69,
0,70,1719;0,76,9,63,15,16,70,
0,71,2776;0,76,9,63,15,16,70,28,2,71,
0,72,2251;0,46,75,38,72,
0,73,1559;0,76,9,64,34,61,52,69,14,73,
0,74,1956;0,76,5,39,12,74,
0,75,894;0,46,75,
0,76,-72;0,76,
0,77,1750;0,76,9,64,34,77,
0,78,1319;0,43,51,65,78,
0,79,1991;0,43,51,54,79,
0,80,1264;0,76,5,39,80,
