0,1,1782;0,20,7,21,9,1,
0,2,1715;0,20,10,19,23,2,
0,3,2137;0,20,10,19,3,
0,4,1611;0,6,5,8,12,4,
0,5,937;0,6,5,
0,6,9;0,6,
0,7,744;0,20,7,
0,8,1296;0,6,5,8,
0,9,882;0,20,7,21,9,
0,10,744;0,20,10,
0,11,537;0,6,11,
0,12,1389;0,6,5,8,12,
0,13,2296;0,20,10,19,3,13,
0,15,2137;0,20,7,21,9,1,15,
0,16,2328;0,6,11,17,18,16,
0,17,1014;0,6,11,17,
0,18,1582;0,6,11,17,18,
0,19,1706;0,20,10,19,
0,20,329;0,20,
0,21,937;0,20,7,21,
0,22,2369;0,6,11,17,18,16,22,
0,23,1729;0,20,10,19,23,
0,24,1719;0,6,5,8,24,
0,25,1435;0,6,5,8,12,25,
0,26,1880;0,20,7,21,26,
