0,1,1221;0,190,35,70,244,102,155,575,266,578,100,320,265,1,
0,2,1532;0,414,2,
0,3,1432;0,190,618,377,197,172,43,539,511,433,293,435,192,3,
0,4,1049;0,190,618,377,197,393,98,271,196,551,332,446,207,384,658,708,4,
0,5,1095;0,190,35,70,244,102,155,575,266,109,360,5,
0,6,1042;0,190,618,377,197,393,98,271,196,551,6,
0,7,982;0,190,35,70,244,615,195,164,621,7,
0,8,1063;0,190,35,70,244,102,155,495,8,
0,9,1775;0,190,35,70,447,226,636,26,553,328,519,532,9,
0,10,1181;0,190,35,70,244,615,195,10,
0,11,1168;0,190,618,377,15,675,311,76,239,496,592,260,11,
0,12,1068;0,190,35,70,244,615,49,362,563,166,12,
0,13,1281;0,190,35,70,447,226,636,668,461,13,
0,14,1186;0,190,35,70,408,123,722,14,
0,15,1012;0,190,618,377,15,
0,16,1409;0,190,35,70,244,615,49,362,563,166,12,325,567,723,203,16,
0,17,1640;0,148,477,238,75,17,
0,18,1462;0,190,667,131,727,394,40,526,585,18,
0,19,990;0,190,35,70,244,615,195,164,621,405,570,47,200,468,82,19,
0,20,1849;0,190,618,377,197,393,98,271,196,551,6,716,20,
0,21,1792;0,190,35,70,408,123,722,356,63,21,
0,22,1182;0,190,618,377,197,172,22,
0,23,810;0,190,618,377,197,172,43,539,481,396,23,
0,24,926;0,148,477,238,75,24,
0,25,2023;0,190,618,377,197,172,530,25,
0,26,1138;0,190,35,70,447,226,636,26,
0,27,1715;0,190,618,317,27,
0,28,1454;0,190,35,70,244,615,49,362,563,166,12,325,567,136,651,331,680,383,28,
0,29,1508;0,190,618,377,197,393,98,271,196,551,332,446,207,370,256,65,533,475,277,556,29,
0,30,1270;0,190,35,70,244,615,195,164,621,405,570,47,200,663,642,497,242,146,211,709,387,717,237,30,
0,31,1168;0,148,477,238,75,78,250,151,227,255,251,31,
0,32,1437;0,190,35,70,244,102,155,495,8,443,139,295,32,
0,33,1967;0,190,35,70,244,102,155,575,266,109,543,92,552,33,
