0,1,1297;0,70,36,16,31,73,17,1,
0,2,731;0,21,52,34,62,22,2,
0,3,1201;0,21,52,34,62,22,2,13,64,29,4,26,68,3,
0,4,1152;0,21,52,34,62,22,2,13,64,29,4,
0,5,1817;0,21,52,34,62,22,61,43,75,5,
0,6,1064;0,21,52,34,53,6,
0,7,1192;0,70,36,16,31,30,12,7,
0,8,1537;0,70,36,16,31,30,12,7,8,
0,9,1096;0,70,9,
0,10,1415;0,70,36,16,76,24,10,
0,11,1083;0,70,36,16,76,66,11,
0,12,814;0,70,36,16,31,30,12,
0,13,795;0,21,52,34,62,22,2,13,
0,14,1562;0,21,52,34,62,22,2,13,14,
0,15,1698;0,21,52,34,62,22,2,13,64,29,37,80,33,15,
0,16,415;0,70,36,16,
0,17,1345;0,70,36,16,31,73,17,
0,18,1316;0,21,52,56,18,
0,19,1891;0,21,52,34,62,22,2,13,64,29,4,26,19,
0,20,1352;0,21,52,34,62,22,2,20,
0,21,441;0,21,
0,22,821;0,21,52,34,62,22,
0,23,492;0,70,36,16,76,24,23,
0,24,417;0,70,36,16,76,24,
0,25,1254;0,21,52,34,62,22,50,25,
0,26,1180;0,21,52,34,62,22,2,13,64,29,4,26,
0,27,2295;0,21,52,56,18,27,
0,28,2493;0,21,52,34,62,22,2,13,14,28,
0,29,716;0,21,52,34,62,22,2,13,64,29,
0,30,865;0,70,36,16,31,30,
0,31,828;0,70,36,16,31,
0,32,2032;0,21,52,34,62,22,2,13,64,29,37,54,32,
0,33,1559;0,21,52,34,62,22,2,13,64,29,37,80,33,
0,34,674;0,21,52,34,
0,35,1644;0,21,52,34,53,35,
0,36,352;0,70,36,
0,37,1102;0,21,52,34,62,22,2,13,64,29,37,
0,38,1328;0,21,52,34,62,22,61,43,38,
0,39,1508;0,21,52,34,62,22,61,43,38,39,
0,40,2046;0,21,52,34,53,6,40,
0,41,896;0,70,36,16,76,24,23,41,
0,42,1409;0,21,52,34,62,22,2,13,64,29,4,71,42,
0,43,1190;0,21,52,34,62,22,61,43,
0,44,2228;0,21,52,34,53,35,44,
0,45,866;0,70,36,16,31,73,45,
0,46,1551;0,21,52,34,62,22,2,13,64,29,37,80,46,
0,47,1197;0,70,36,57,47,
0,48,1762;0,70,36,16,31,78,48,
0,49,1210;0,70,36,16,31,30,12,7,49,
0,50,801;0,21,52,34,62,22,50,
0,52,725;0,21,52,
0,53,996;0,21,52,34,53,
0,54,1208;0,21,52,34,62,22,2,13,64,29,37,54,
0,55,1824;0,70,36,16,76,66,11,55,
0,56,932;0,21,52,56,
0,57,1040;0,70,36,57,
0,58,1478;0,21,52,34,58,
0,59,556;0,70,36,16,76,59,
0,61,1197;0,21,52,34,62,22,61,
0,62,820;0,21,52,34,62,
0,63,1837;0,21,52,34,58,63,
0,64,735;0,21,52,34,62,22,2,13,64,
0,65,2213;0,70,36,16,31,78,65,
0,66,1084;0,70,36,16,76,66,
0,68,1287;0,21,52,34,62,22,2,13,64,29,4,26,68,
0,69,1886;0,21,52,34,53,6,69,
0,70,436;0,70,
0,71,1508;0,21,52,34,62,22,2,13,64,29,4,71,
0,73,856;0,70,36,16,31,73,
0,74,824;0,74,
0,75,1545;0,21,52,34,62,22,61,43,75,
0,76,484;0,70,36,16,76,
0,77,2150;0,21,52,34,62,22,2,13,64,29,37,54,32,77,
0,78,1268;0,70,36,16,31,78,
0,79,1980;0,70,36,57,79,
0,80,1087;0,21,52,34,62,22,2,13,64,29,37,80,
