0,1,2250;0,57,137,63,200,126,1,
0,2,1229;0,241,220,132,197,236,131,31,14,182,8,179,234,2,
0,3,1499;0,57,169,46,3,
0,4,1266;0,89,17,4,
0,5,1547;0,241,220,47,242,5,
0,6,506;0,57,175,6,
0,7,2629;0,57,175,230,166,102,50,176,7,
0,8,1133;0,241,220,132,197,236,131,31,14,182,8,
0,9,869;0,57,137,63,152,9,
0,10,1504;0,57,137,211,15,10,
0,11,1736;0,57,175,6,21,161,11,
0,12,1547;0,57,137,63,12,
0,13,1020;0,241,220,132,197,236,131,80,13,
0,14,746;0,241,220,132,197,236,131,31,14,
0,15,1239;0,57,137,211,15,
0,16,1830;0,241,220,132,197,236,131,80,13,86,118,16,
0,17,1095;0,89,17,
0,18,2093;0,89,82,55,18,
0,19,1941;0,57,169,46,19,
0,20,809;0,57,175,230,20,
0,21,621;0,57,175,6,21,
0,22,1773;0,241,225,116,22,
0,23,566;0,57,137,23,
0,24,1716;0,241,220,132,197,236,131,31,145,106,28,24,
0,25,1461;0,57,137,23,25,
0,26,1284;0,241,220,132,197,65,94,208,26,
0,27,1310;0,241,220,47,81,140,27,
0,28,1286;0,241,220,132,197,236,131,31,145,106,28,
0,29,1553;0,241,220,132,197,236,131,31,145,119,105,173,29,
0,30,1289;0,57,175,6,201,38,30,
0,31,613;0,241,220,132,197,236,131,31,
0,32,1752;0,57,175,6,21,161,127,99,32,
0,33,440;0,57,175,6,174,163,33,
0,34,2436;0,241,220,132,197,236,131,80,13,86,118,121,222,34,
0,35,1361;0,57,175,230,166,110,60,35,
0,36,514;0,241,36,
0,38,1153;0,57,175,6,201,38,
0,39,1168;0,57,137,211,15,39,
0,40,1139;0,57,137,63,200,40,
0,41,1701;0,241,220,132,197,236,207,170,232,41,
0,42,1745;0,57,175,230,20,53,215,42,
0,43,1365;0,241,220,132,197,236,131,31,145,106,28,43,
0,44,1375;0,241,220,47,81,149,44,
0,45,807;0,57,175,6,174,163,199,45,
0,46,964;0,57,169,46,
0,47,857;0,241,220,47,
0,48,1144;0,241,220,228,227,48,
0,49,2699;0,89,82,55,18,49,
0,50,1410;0,57,175,230,166,102,50,
0,51,2551;0,241,220,132,197,236,131,31,145,119,105,173,29,191,51,
0,52,1608;0,89,17,4,159,168,52,
0,53,886;0,57,175,230,20,53,
0,54,1682;0,57,137,63,152,9,146,54,
0,55,1283;0,89,82,55,
0,56,985;0,57,175,6,21,161,127,56,
0,57,-25;0,57,
0,58,1513;0,57,175,230,58,
0,59,1009;0,241,220,132,197,236,207,170,112,59,
0,60,1364;0,57,175,230,166,110,60,
0,61,1511;0,57,175,6,174,103,216,193,61,
0,62,1515;0,57,175,6,201,38,198,240,62,
0,63,981;0,57,137,63,
0,65,717;0,241,220,132,197,65,
0,66,1483;0,241,220,132,197,236,131,31,145,106,28,43,66,
0,67,925;0,57,175,6,174,163,199,67,
0,68,1521;0,57,175,6,21,161,127,99,79,68,
0,69,2519;0,241,225,116,22,69,
0,70,1346;0,241,220,132,70,
0,71,1653;0,241,220,132,197,236,133,71,
