0,1,848;0,97,143,86,70,170,105,126,78,107,1,
0,2,629;0,186,6,2,
0,3,1570;0,186,230,79,215,3,
0,4,903;0,186,128,165,190,141,194,4,
0,5,1026;0,186,128,165,190,141,194,4,5,
0,6,285;0,186,6,
0,7,1345;0,97,143,233,203,96,36,220,7,
0,8,1654;0,179,181,61,60,238,242,72,214,149,8,
0,9,1356;0,179,133,106,164,46,9,
0,10,498;0,179,181,61,83,12,10,
0,11,811;0,179,129,183,239,11,
0,12,598;0,179,181,61,83,12,
0,13,626;0,179,181,61,83,12,10,13,
0,14,514;0,179,181,61,227,26,69,14,
0,15,1379;0,97,18,119,125,15,
0,16,440;0,179,129,56,16,
0,17,1588;0,179,133,131,204,17,
0,18,498;0,97,18,
0,19,670;0,179,181,61,227,26,69,14,39,19,
0,20,491;0,97,143,86,70,170,27,20,
0,21,1359;0,179,181,61,227,226,21,
0,22,695;0,179,181,61,60,136,22,
0,23,1132;0,186,128,165,190,213,23,
0,24,1728;0,179,133,106,164,46,9,24,
0,26,331;0,179,181,61,227,26,
0,27,487;0,97,143,86,70,170,27,
0,28,758;0,97,143,233,203,28,
0,30,1511;0,186,230,79,151,30,
0,31,766;0,97,143,86,70,170,52,31,
0,32,1005;0,97,143,86,70,170,105,126,78,107,32,
0,33,1342;0,186,128,165,190,33,
0,34,640;0,186,230,168,34,
0,35,984;0,179,181,61,83,12,10,41,174,35,
0,36,952;0,97,143,233,203,96,36,
0,37,990;0,179,181,61,227,26,69,14,39,74,111,208,37,
0,38,710;0,179,181,61,227,26,69,122,43,38,
0,39,431;0,179,181,61,227,26,69,14,39,
0,40,1655;0,179,181,61,227,26,69,14,39,74,111,208,40,
0,41,476;0,179,181,61,83,12,10,41,
0,42,796;0,179,181,61,227,26,69,182,196,58,42,
0,43,658;0,179,181,61,227,26,69,122,43,
0,44,904;0,97,143,233,81,44,
0,45,1195;0,179,181,61,227,26,69,14,39,74,111,208,37,45,
0,46,949;0,179,133,106,164,46,
0,47,908;0,97,216,92,47,
0,48,1423;0,97,143,233,203,96,36,220,7,48,
0,49,1164;0,186,128,165,190,49,
0,50,1058;0,179,181,61,227,26,69,182,196,58,42,240,198,50,
0,51,757;0,179,181,61,83,12,63,51,
